bombilla1,bombilla2,bombilla3,bombilla4,electrovalvula,VoltVentilador,carga1,carga2,carga3,carga4,VelocidadViento,radiacion,humedad1,humedad2, temperatura1,temperatura2,date
,,,,,,,,,,,,,,,,2025-06-10 16:15:05
0,0,0,0,0,0,95.3688868543526,82.6530352737723,31.7896289514509,19.0737773708705,0.63,951,315,308,23.3,23.4,2025-06-10 16:15:10
0,0,0,0,0,0,95.3688868543526,69.9371836931919,44.5054805320312,6.35792579029015,0.59,1022,316,308,23.3,23.4,2025-06-10 16:15:16
0,0,0,0,0,0,19.0737773708705,95.3688868543526,44.5054805320312,19.0737773708705,0.62,987,315,308,23.3,23.4,2025-06-10 16:15:21
0,0,0,0,0,0,19.0737773708705,31.7896289514509,69.9371836931919,6.35792579029015,0.6,806,316,308,23.3,23.4,2025-06-10 16:15:26
0,0,0,0,0,0,57.2213321126116,6.35792579029015,19.0737773708705,19.0737773708705,0.59,775,316,308,23.3,23.4,2025-06-10 16:15:32
0,0,0,0,0,0,146.232293176674,44.5054805320312,69.9371836931919,19.0737773708705,0.63,889,316,308,23.3,23.4,2025-06-10 16:15:37
0,0,0,0,0,0,82.6530352737723,57.2213321126116,69.9371836931919,6.35792579029015,0.58,547,316,309,23.3,23.4,2025-06-10 16:15:42
0,0,0,0,0,0,82.6530352737723,69.9371836931919,57.2213321126116,6.35792579029015,0.62,580,315,308,23.3,23.4,2025-06-10 16:15:48
0,0,0,0,0,0,82.6530352737723,57.2213321126116,57.2213321126116,6.35792579029015,0.62,558,316,308,23.3,23.4,2025-06-10 16:15:53
0,0,0,0,0,0,6.35792579029015,69.9371836931919,44.5054805320312,6.35792579029015,0.59,952,315,308,23.3,23.4,2025-06-10 16:15:58
0,0,0,0,0,0,6.35792579029015,69.9371836931919,44.5054805320312,19.0737773708705,0.6,968,316,308,23.3,23.4,2025-06-10 16:16:04
0,0,0,0,0,0,82.6530352737723,82.6530352737723,44.5054805320312,833339.691259124,0.59,541,316,308,23.3,23.4,2025-06-10 16:16:09
0,0,0,0,0,0,82.6530352737723,69.9371836931919,57.2213321126116,6.35792579029015,0.59,564,316,308,23.3,23.4,2025-06-10 16:16:14
0,0,0,0,0,0,146.232293176674,95.3688868543526,44.5054805320312,19.0737773708705,0.62,754,315,308,23.3,23.4,2025-06-10 16:16:20
0,0,0,0,0,0,19.0737773708705,108.084738434933,44.5054805320312,19.0737773708705,0.59,714,316,307,23.3,23.4,2025-06-10 16:16:25
0,0,0,0,0,0,133.516441596094,57.2213321126116,19.0737773708705,6.35792579029015,0.58,985,316,308,23.3,23.4,2025-06-10 16:16:30
0,0,0,0,0,0,120.800590015513,82.6530352737723,44.5054805320312,6.35792579029015,0.63,960,316,308,23.3,23.4,2025-06-10 16:16:36
0,0,0,0,0,0,82.6530352737723,57.2213321126116,69.9371836931919,833339.691259124,0.58,540,316,309,23.3,23.4,2025-06-10 16:16:41
0,0,0,0,0,0,6.35792579029015,69.9371836931919,44.5054805320312,6.35792579029015,0.59,1007,316,308,23.3,23.4,2025-06-10 16:16:47
0,0,0,0,0,0,158.948144757254,120.800590015513,44.5054805320312,6.35792579029015,0.63,545,316,307,23.3,23.4,2025-06-10 16:16:52
0,0,0,0,0,0,120.800590015513,31.7896289514509,31.7896289514509,6.35792579029015,0.63,802,316,308,23.3,23.4,2025-06-10 16:16:57
0,0,0,0,0,0,133.516441596094,57.2213321126116,31.7896289514509,6.35792579029015,0.59,549,316,308,23.3,23.4,2025-06-10 16:17:03
0,0,0,0,0,0,19.0737773708705,31.7896289514509,69.9371836931919,31.7896289514509,0.61,601,316,308,23.3,23.4,2025-06-10 16:17:09
0,0,0,0,0,0,95.3688868543526,69.9371836931919,31.7896289514509,6.35792579029015,0.59,981,316,308,23.3,23.4,2025-06-10 16:17:14
0,0,0,0,0,0,19.0737773708705,95.3688868543526,44.5054805320312,6.35792579029015,0.62,614,316,307,23.3,23.4,2025-06-10 16:17:19
0,0,0,0,0,0,31.7896289514509,57.2213321126116,19.0737773708705,6.35792579029015,0.59,976,316,307,23.3,23.4,2025-06-10 16:17:25
0,0,0,0,0,0,19.0737773708705,95.3688868543526,19.0737773708705,31.7896289514509,0.63,622,316,308,23.3,23.4,2025-06-10 16:17:30
0,0,0,0,0,0,120.800590015513,31.7896289514509,31.7896289514509,6.35792579029015,0.61,829,315,308,23.3,23.4,2025-06-10 16:17:35
0,0,0,0,0,0,19.0737773708705,95.3688868543526,69.9371836931919,19.0737773708705,0.62,713,315,307,23.3,23.4,2025-06-10 16:17:41
0,0,0,0,0,0,6.35792579029015,82.6530352737723,44.5054805320312,6.35792579029015,0.62,951,316,307,23.3,23.4,2025-06-10 16:17:46
0,0,0,0,0,0,6.35792579029015,95.3688868543526,44.5054805320312,6.35792579029015,0.62,942,316,307,23.3,23.4,2025-06-10 16:17:52
0,0,0,0,0,0,82.6530352737723,57.2213321126116,31.7896289514509,6.35792579029015,0.59,567,315,308,23.3,23.4,2025-06-10 16:17:57
0,0,0,0,0,0,6.35792579029015,44.5054805320312,69.9371836931919,6.35792579029015,0.61,798,315,308,23.3,23.4,2025-06-10 16:18:03
0,0,0,0,0,0,158.948144757254,69.9371836931919,69.9371836931919,19.0737773708705,0.62,921,316,308,23.3,23.4,2025-06-10 16:18:08
0,0,0,0,0,0,6.35792579029015,95.3688868543526,57.2213321126116,6.35792579029015,0.62,953,315,307,23.3,23.4,2025-06-10 16:18:14
0,0,0,0,0,0,82.6530352737723,57.2213321126116,69.9371836931919,6.35792579029015,0.59,576,315,308,23.3,23.4,2025-06-10 16:18:19
0,0,0,0,0,0,95.3688868543526,82.6530352737723,31.7896289514509,69.9371836931919,0.63,871,315,308,23.3,23.4,2025-06-10 16:18:25
0,0,0,0,0,0,133.516441596094,69.9371836931919,44.5054805320312,6.35792579029015,0.62,976,315,308,23.3,23.4,2025-06-10 16:18:31
0,0,0,0,0,0,82.6530352737723,69.9371836931919,57.2213321126116,6.35792579029015,0.59,571,316,307,23.3,23.4,2025-06-10 16:18:36
0,0,0,0,0,0,6.35792579029015,69.9371836931919,44.5054805320312,6.35792579029015,0.6,943,316,307,23.3,23.4,2025-06-10 16:18:41
0,0,0,0,0,0,95.3688868543526,69.9371836931919,44.5054805320312,6.35792579029015,0.59,990,315,308,23.3,23.4,2025-06-10 16:18:47
0,0,0,0,0,0,82.6530352737723,57.2213321126116,69.9371836931919,6.35792579029015,0.63,962,315,307,23.3,23.4,2025-06-10 16:18:52
0,0,0,0,0,0,158.948144757254,108.084738434933,69.9371836931919,19.0737773708705,0.6,712,315,308,23.3,23.4,2025-06-10 16:18:58
0,0,0,0,0,0,44.5054805320312,69.9371836931919,57.2213321126116,6.35792579029015,0.59,561,316,308,23.3,23.4,2025-06-10 16:19:04
0,0,0,0,0,0,19.0737773708705,95.3688868543526,19.0737773708705,6.35792579029015,0.62,580,316,308,23.3,23.4,2025-06-10 16:19:09
0,0,0,0,0,0,31.7896289514509,95.3688868543526,19.0737773708705,6.35792579029015,0.58,673,315,308,23.3,23.4,2025-06-10 16:19:14
