bombilla1,bombilla2,bombilla3,bombilla4,electrovalvula,VoltVentilador,carga1,carga2,carga3,carga4,VelocidadViento,radiacion,humedad1,humedad2, temperatura1,temperatura2,date
,,,,,,,,,,,,,,,,2025-06-11 11:50:55
0,0,0,0,1,0,82.6530352737723,57.2213321126116,57.2213321126116,6.35792579029015,0.54,582,328,319,23.4,23.5,2025-06-11 11:51:00
0,0,0,0,1,0,82.6530352737723,95.3688868543526,31.7896289514509,6.35792579029015,0.54,577,327,318,23.4,23.5,2025-06-11 11:51:05
0,0,0,0,1,0,133.516441596094,95.3688868543526,31.7896289514509,6.35792579029015,0.54,585,326,318,23.4,23.5,2025-06-11 11:51:10
0,0,0,0,1,0,158.948144757254,6.35792579029015,31.7896289514509,31.7896289514509,0.59,742,326,318,23.4,23.5,2025-06-11 11:51:15
0,0,0,0,1,0,133.516441596094,120.800590015513,69.9371836931919,833301.543704382,0.57,742,326,319,23.4,23.5,2025-06-11 11:51:21
