bombilla1,bombilla2,bombilla3,bombilla4,electrovalvula,VoltVentilador,carga1,carga2,carga3,carga4,VelocidadViento,radiacion,humedad1,humedad2, temperatura1,temperatura2,date
,,,,,,,,,,,,,,,,2025-06-16 15:41:40
,,,,,,,,,,,,,,,,2025-06-16 15:41:45
0,0,0,0,0,0,108.084738434933,95.3688868543526,19.0737773708705,6.35792579029015,0.59,576,305,300,23.2,23.3,2025-06-16 15:41:50
0,0,0,0,0,0,95.3688868543526,69.9371836931919,44.5054805320312,6.35792579029015,0.62,951,305,300,23.2,23.3,2025-06-16 15:41:56
0,0,0,0,0,0,95.3688868543526,69.9371836931919,44.5054805320312,19.0737773708705,0.59,945,305,301,23.2,23.3,2025-06-16 15:42:01
0,0,0,0,0,0,146.232293176674,108.084738434933,69.9371836931919,833288.827852801,0.6,704,305,299,23.2,23.3,2025-06-16 15:42:06
0,0,0,0,0,0,146.232293176674,31.7896289514509,44.5054805320312,19.0737773708705,0.61,612,305,299,23.2,23.3,2025-06-16 15:42:12
0,0,0,0,0,0,158.948144757254,82.6530352737723,44.5054805320312,6.35792579029015,0.63,581,305,300,23.2,23.3,2025-06-16 15:42:17
0,0,0,0,0,0,82.6530352737723,82.6530352737723,57.2213321126116,6.35792579029015,0.63,550,305,300,23.2,23.3,2025-06-16 15:42:22
0,0,0,0,0,0,95.3688868543526,82.6530352737723,57.2213321126116,6.35792579029015,0.63,943,305,300,23.2,23.3,2025-06-16 15:42:28
0,0,0,0,0,0,146.232293176674,108.084738434933,31.7896289514509,19.0737773708705,0.6,928,305,300,23.2,23.3,2025-06-16 15:42:33
0,0,0,0,0,0,146.232293176674,57.2213321126116,69.9371836931919,19.0737773708705,0.6,614,305,299,23.2,23.3,2025-06-16 15:42:39
0,0,0,0,0,0,133.516441596094,57.2213321126116,19.0737773708705,6.35792579029015,0.59,560,305,301,23.2,23.3,2025-06-16 15:42:44
0,0,0,0,0,0,158.948144757254,82.6530352737723,57.2213321126116,6.35792579029015,0.63,545,305,300,23.2,23.2,2025-06-16 15:42:49
0,0,0,0,0,0,133.516441596094,120.800590015513,69.9371836931919,833326.975407543,0.62,963,304,301,23.2,23.3,2025-06-16 15:42:55
0,0,0,0,0,0,133.516441596094,57.2213321126116,31.7896289514509,57.2213321126116,0.59,566,305,300,23.2,23.2,2025-06-16 15:43:00
0,0,0,0,0,0,120.800590015513,44.5054805320312,44.5054805320312,6.35792579029015,0.63,967,305,300,23.2,23.2,2025-06-16 15:43:06
0,0,0,0,0,0,146.232293176674,31.7896289514509,31.7896289514509,57.2213321126116,0.63,810,305,300,23.2,23.2,2025-06-16 15:43:12
0,0,0,0,0,0,6.35792579029015,44.5054805320312,44.5054805320312,31.7896289514509,0.61,649,305,300,23.2,23.2,2025-06-16 15:43:17
0,0,0,0,0,0,133.516441596094,19.0737773708705,69.9371836931919,6.35792579029015,0.58,590,305,301,23.2,23.2,2025-06-16 15:43:23
0,0,0,0,0,0,108.084738434933,57.2213321126116,19.0737773708705,6.35792579029015,0.59,693,305,300,23.2,23.2,2025-06-16 15:43:29
0,0,0,0,0,0,69.9371836931919,44.5054805320312,44.5054805320312,6.35792579029015,0.59,859,305,299,23.2,23.2,2025-06-16 15:43:34
0,0,0,0,0,0,57.2213321126116,69.9371836931919,57.2213321126116,6.35792579029015,0.59,566,305,299,23.2,23.2,2025-06-16 15:43:40
0,0,0,0,0,0,6.35792579029015,69.9371836931919,57.2213321126116,6.35792579029015,0.59,967,306,300,23.2,23.2,2025-06-16 15:43:45
0,0,0,0,0,0,95.3688868543526,69.9371836931919,44.5054805320312,6.35792579029015,0.59,981,305,300,23.2,23.2,2025-06-16 15:43:51
0,0,0,0,0,0,120.800590015513,108.084738434933,57.2213321126116,6.35792579029015,0.6,949,305,300,23.2,23.2,2025-06-16 15:43:57
0,0,0,0,0,0,133.516441596094,82.6530352737723,44.5054805320312,6.35792579029015,0.56,977,305,300,23.2,23.2,2025-06-16 15:44:02
0,0,0,0,0,0,95.3688868543526,44.5054805320312,69.9371836931919,6.35792579029015,0.6,980,305,301,23.2,23.2,2025-06-16 15:44:08
0,0,0,0,0,0,120.800590015513,57.2213321126116,31.7896289514509,6.35792579029015,0.59,569,305,301,23.2,23.2,2025-06-16 15:44:14
0,0,0,0,0,0,108.084738434933,108.084738434933,69.9371836931919,6.35792579029015,0.59,963,305,301,23.2,23.2,2025-06-16 15:44:19
0,0,0,0,0,0,133.516441596094,31.7896289514509,31.7896289514509,69.9371836931919,0.63,767,305,301,23.2,23.2,2025-06-16 15:44:25
0,0,0,0,0,0,19.0737773708705,44.5054805320312,69.9371836931919,31.7896289514509,0.61,817,305,301,23.2,23.2,2025-06-16 15:44:30
0,0,0,0,0,0,146.232293176674,44.5054805320312,69.9371836931919,31.7896289514509,0.6,789,305,300,23.2,23.2,2025-06-16 15:44:36
0,0,0,0,0,0,6.35792579029015,44.5054805320312,44.5054805320312,6.35792579029015,0.61,636,305,301,23.2,23.2,2025-06-16 15:44:41
0,0,0,0,0,0,95.3688868543526,82.6530352737723,44.5054805320312,6.35792579029015,0.63,964,305,301,23.2,23.2,2025-06-16 15:44:47
0,0,0,0,0,0,95.3688868543526,69.9371836931919,57.2213321126116,19.0737773708705,0.6,952,305,301,23.2,23.2,2025-06-16 15:44:52
0,0,0,0,0,0,57.2213321126116,69.9371836931919,57.2213321126116,6.35792579029015,0.59,574,305,300,23.2,23.2,2025-06-16 15:44:58
0,0,0,0,0,0,158.948144757254,69.9371836931919,69.9371836931919,19.0737773708705,0.59,929,305,301,23.2,23.2,2025-06-16 15:45:03
0,0,0,0,0,0,44.5054805320312,108.084738434933,69.9371836931919,6.35792579029015,0.61,930,305,300,23.2,23.2,2025-06-16 15:45:09
0,0,0,0,0,0,133.516441596094,31.7896289514509,44.5054805320312,6.35792579029015,0.62,579,305,301,23.2,23.2,2025-06-16 15:45:15
0,0,0,0,0,0,95.3688868543526,82.6530352737723,57.2213321126116,6.35792579029015,0.63,959,305,301,23.2,23.2,2025-06-16 15:45:20
0,0,0,0,0,0,6.35792579029015,108.084738434933,69.9371836931919,19.0737773708705,0.6,689,305,299,23.2,23.3,2025-06-16 15:45:26
0,0,0,0,0,0,108.084738434933,31.7896289514509,31.7896289514509,69.9371836931919,0.63,778,306,300,23.2,23.3,2025-06-16 15:45:31
0,0,0,0,0,0,146.232293176674,82.6530352737723,44.5054805320312,6.35792579029015,0.63,584,305,300,23.2,23.2,2025-06-16 15:45:37
0,0,0,0,0,0,120.800590015513,82.6530352737723,44.5054805320312,6.35792579029015,0.63,964,305,301,23.2,23.2,2025-06-16 15:45:42
0,0,0,0,0,0,120.800590015513,6.35792579029015,69.9371836931919,6.35792579029015,0.63,977,305,301,23.2,23.2,2025-06-16 15:45:47
0,0,0,0,0,0,146.232293176674,95.3688868543526,31.7896289514509,6.35792579029015,0.59,559,305,301,23.2,23.2,2025-06-16 15:45:53
0,0,0,0,0,0,120.800590015513,108.084738434933,69.9371836931919,833288.827852801,0.63,891,305,300,23.2,23.2,2025-06-16 15:45:59
