bombilla1,bombilla2,bombilla3,bombilla4,electrovalvula,VoltVentilador,carga1,carga2,carga3,carga4,VelocidadViento,radiacion,humedad1,humedad2, temperatura1,temperatura2,date
,,,,,,,,,,,,,,,,2025-06-16 15:10:20
,,,,,,,,,,,,,,,,2025-06-16 15:10:25
,,,,,,,,,,,,,,,,2025-06-16 15:10:30
0,0,0,0,0,0,19.0737773708705,95.3688868543526,44.5054805320312,6.35792579029015,0.62,955,26.25,25.25,23.3,23.3,2025-06-16 15:10:35
0,0,0,0,0,0,108.084738434933,57.2213321126116,19.0737773708705,6.35792579029015,0.59,974,26,25,23.3,23.3,2025-06-16 15:10:40
0,0,0,0,0,0,31.7896289514509,82.6530352737723,69.9371836931919,6.35792579029015,0.63,943,26.25,25.25,23.3,23.3,2025-06-16 15:10:45
0,0,0,0,0,0,158.948144757254,57.2213321126116,44.5054805320312,6.35792579029015,0.6,571,26.25,25,23.3,23.3,2025-06-16 15:10:51
0,0,0,0,0,0,19.0737773708705,95.3688868543526,44.5054805320312,6.35792579029015,0.62,603,26.25,25,23.3,23.3,2025-06-16 15:10:56
0,0,0,0,0,0,69.9371836931919,95.3688868543526,69.9371836931919,833301.543704382,0.63,880,26.25,25,23.3,23.3,2025-06-16 15:11:01
0,0,0,0,0,0,69.9371836931919,44.5054805320312,69.9371836931919,19.0737773708705,0.63,879,26.25,25,23.3,23.3,2025-06-16 15:11:07
0,0,0,0,0,0,6.35792579029015,95.3688868543526,57.2213321126116,19.0737773708705,0.63,942,26.25,25.25,23.3,23.4,2025-06-16 15:11:12
0,0,0,0,0,0,158.948144757254,120.800590015513,44.5054805320312,19.0737773708705,0.6,647,26.25,25.25,23.3,23.3,2025-06-16 15:11:17
0,0,0,0,0,0,82.6530352737723,69.9371836931919,69.9371836931919,6.35792579029015,0.58,550,26.25,25.25,23.3,23.4,2025-06-16 15:11:22
0,0,0,0,0,0,158.948144757254,82.6530352737723,44.5054805320312,6.35792579029015,0.62,930,26.25,25,23.3,23.3,2025-06-16 15:11:28
