bombilla1,bombilla2,bombilla3,bombilla4,electrovalvula,VoltVentilador,carga1,carga2,carga3,carga4,VelocidadViento,radiacion,humedad1,humedad2, temperatura1,temperatura2,date
,,,,,,,,,,,,,,,,2025-06-16 15:40:12
,,,,,,,,,,,,,,,,2025-06-16 15:40:17
0,0,0,0,0,0,133.516441596094,108.084738434933,69.9371836931919,19.0737773708705,0.61,691,305,301,23.2,23.3,2025-06-16 15:40:22
0,0,0,0,0,0,95.3688868543526,69.9371836931919,82.6530352737723,19.0737773708705,0.59,957,305,301,23.2,23.3,2025-06-16 15:40:27
0,0,0,0,0,0,57.2213321126116,95.3688868543526,31.7896289514509,57.2213321126116,0.57,557,305,300,23.2,23.3,2025-06-16 15:40:33
0,0,0,0,0,0,19.0737773708705,44.5054805320312,69.9371836931919,833339.691259124,0.6,796,305,300,23.2,23.3,2025-06-16 15:40:38
0,0,0,0,0,0,95.3688868543526,95.3688868543526,31.7896289514509,6.35792579029015,0.62,575,305,301,23.2,23.3,2025-06-16 15:40:43
0,0,0,0,0,0,31.7896289514509,82.6530352737723,82.6530352737723,6.35792579029015,0.63,963,305,300,23.2,23.3,2025-06-16 15:40:49
0,0,0,0,0,0,19.0737773708705,95.3688868543526,57.2213321126116,833288.827852801,0.58,988,305,301,23.2,23.3,2025-06-16 15:40:54
0,0,0,0,0,0,82.6530352737723,69.9371836931919,44.5054805320312,31.7896289514509,0.61,970,305,300,23.2,23.3,2025-06-16 15:40:59
0,0,0,0,0,0,146.232293176674,108.084738434933,44.5054805320312,19.0737773708705,0.61,680,305,301,23.2,23.3,2025-06-16 15:41:05
0,0,0,0,0,0,133.516441596094,44.5054805320312,44.5054805320312,6.35792579029015,0.63,785,306,300,23.2,23.3,2025-06-16 15:41:11
0,0,0,0,0,0,158.948144757254,69.9371836931919,57.2213321126116,19.0737773708705,0.6,560,305,300,23.2,23.3,2025-06-16 15:41:16
0,0,0,0,0,0,158.948144757254,57.2213321126116,44.5054805320312,19.0737773708705,0.6,585,305,301,23.2,23.2,2025-06-16 15:41:21
0,0,0,0,0,0,82.6530352737723,82.6530352737723,57.2213321126116,6.35792579029015,0.59,582,305,300,23.2,23.3,2025-06-16 15:41:27
0,0,0,0,0,0,158.948144757254,120.800590015513,69.9371836931919,19.0737773708705,0.62,936,305,301,23.2,23.3,2025-06-16 15:41:32
